point,plant,N,topology,scenario,method,RMSEmean,RMSEstd,minSep,safeFailCount,safeEligibleCount,safeFailRate,safeRule,DATA,ACK,Total_w010,Total_w025,Total_w050,airtime,broadcast,AoI,estimatedAoI,saturation,effort,estError,diverged,evaluable,connected,dominated_w_0_10,dominated_w_0_25,dominated_w_0_50,dominated_airtime,dominated_broadcast,sourceExperiment,sourceTag
NODE,di,20,ring2,Stressed,P10,0.299731929861298,0.00827575442259354,0.287085691755675,0,3,0,EXP08C matched no-fault eligibility,472.288888888889,0,472.288888888889,472.288888888889,472.288888888889,22669.8666666667,207.633333333333,0.293390352205066,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
NODE,di,20,ring2,Stressed,P20,0.23853346717326,0.00946123226510967,0.337394453114888,0,3,0,EXP08C matched no-fault eligibility,946.155555555556,0,946.155555555556,946.155555555556,946.155555555556,45415.4666666667,415.966666666667,0.232404506004642,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
NODE,di,20,ring2,Stressed,State-event,0.480513175537001,0.0114022993720124,0.0668289321516658,0,0,NaN,EXP08C matched no-fault eligibility,178.688888888889,0,178.688888888889,178.688888888889,178.688888888889,8577.06666666667,80.5,0.502772353416086,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
NODE,di,20,ring2,Stressed,Causal-v3,0.249449562342777,0.00850124684981143,0.332293955919444,0,3,0,EXP08C matched no-fault eligibility,829.666666666667,497.688888888889,879.435555555556,954.088888888889,1078.51111111111,51768.5333333333,895.055555555555,0.243850792209103,0.370055930015749,NaN,NaN,NaN,0,3,3,0,0,1,1,1,EXP08C,exp08c-locked-partial
N20REF,di,20,ring2,Moderate,P10,0.179503206931964,0.000737741909474237,0.401458261124574,0,3,0,all seeds,478.4,0,478.4,478.4,478.4,22963.2,209.3,0.15525204359673,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
N20REF,di,20,ring2,Moderate,P20,0.137300416060975,0.000387163239893163,0.449079289074642,0,3,0,all seeds,958.4,0,958.4,958.4,958.4,46003.2,419.3,0.118140831567262,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
N20REF,di,20,ring2,Moderate,State-event,0.307745822465663,0.00502740641507905,0.262474567227829,0,3,0,all seeds,192.266666666667,0,192.266666666667,192.266666666667,192.266666666667,9228.8,83.2555555555556,0.276341583409022,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
N20REF,di,20,ring2,Moderate,Causal-v3,0.162734428209621,0.00031065532343788,0.423323960081558,0,3,0,all seeds,633.488888888889,505.5,684.038888888889,759.863888888889,886.238888888889,42539.4666666667,987.3,0.141135331516803,0.220207944930465,NaN,NaN,NaN,0,3,3,0,0,0,0,1,EXP08C,exp08c-locked-partial
N20REF,di,20,ring2,Stressed,P10,0.268781917189029,0.000506246757695313,0.291011884892895,0,3,0,all seeds,478.4,0,478.4,478.4,478.4,22963.2,209.3,0.236967529518619,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
N20REF,di,20,ring2,Stressed,P20,0.205339203366358,0.000548785218963667,0.374778026677349,0,3,0,all seeds,958.4,0,958.4,958.4,958.4,46003.2,419.3,0.178790998082551,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
N20REF,di,20,ring2,Stressed,State-event,0.458989573026071,0.0075339292421817,0.105824078040434,3,3,1,all seeds,180.844444444444,0,180.844444444444,180.844444444444,180.844444444444,8680.53333333333,77.4111111111111,0.447142496720154,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
N20REF,di,20,ring2,Stressed,Causal-v3,0.217656291266144,0.00064927480819279,0.360640100179801,0,3,0,all seeds,839.633333333333,503.888888888889,890.022222222222,965.605555555556,1091.57777777778,52395.7333333333,868.788888888889,0.189988646684832,0.309770543524999,NaN,NaN,NaN,0,3,3,0,0,1,1,1,EXP08C,exp08c-locked-partial
SCALE,di,50,ring2,Moderate,P10,0.193018509101587,0.00100642027568962,0.401602906815876,0,3,0,all seeds,1225.9,0,1225.9,1225.9,1225.9,58843.2,508.3,0.154816020912253,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP06A,-
SCALE,di,50,ring2,Moderate,P20,0.148508388828112,0.000296812387147821,0.448780613931742,0,3,0,all seeds,2455.9,0,2455.9,2455.9,2455.9,117883.2,1018.3,0.118224796871038,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP06A,-
SCALE,di,50,ring2,Moderate,State-event,0.336870418469936,0.00309037377369996,0.248323421989105,2,3,0.666666666666667,all seeds,484.766666666667,0,484.766666666667,484.766666666667,484.766666666667,23268.8,197.511111111111,0.280581117436969,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP06A,-
SCALE,di,50,ring2,Moderate,Causal-v3,0.175242056349805,0.000241909135696077,0.4233122417432,0,3,0,all seeds,1619.81111111111,1293.52222222222,1749.16333333333,1943.19166666666,2266.57222222222,108795.466666667,2460.02222222222,0.1404836450726,0.219533386469937,NaN,NaN,NaN,0,3,3,0,0,0,0,1,EXP06A,-
SCALE,di,50,ring2,Stressed,P10,0.287616199477305,0.000433793030097769,0.30019966396213,0,3,0,all seeds,1225.9,0,1225.9,1225.9,1225.9,58843.2,508.3,0.235955856833772,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP06A,-
SCALE,di,50,ring2,Stressed,P20,0.221915976353035,0.000523280234951085,0.373839066263662,0,3,0,all seeds,2455.9,0,2455.9,2455.9,2455.9,117883.2,1018.3,0.178974103365012,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP06A,-
SCALE,di,50,ring2,Stressed,State-event,0.496964302269638,0.00244993547807898,0.0621088544306358,3,3,1,all seeds,451.555555555556,0,451.555555555556,451.555555555556,451.555555555556,21674.6666666667,180.744444444445,0.453298159593766,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP06A,-
SCALE,di,50,ring2,Stressed,Causal-v3,0.234766947789658,0.000183232090128015,0.362656403202304,0,3,0,all seeds,2139.26666666667,1277.43333333333,2267.01,2458.625,2777.98333333333,133343.2,2160.88888888889,0.190225663292055,0.31033401916625,NaN,NaN,NaN,0,3,3,0,0,1,1,1,EXP06A,-
