scenario,component,armA,armB,metric,favorableDirection,meanA,meanB,differenceAminusB,ci95Lo,ci95Hi,nPairs,complete,favorableInterval
n5-moderate-bg30,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MAX_STARVATION_SEC,lower,0.438233333333334,0.435766666666667,0.00246666666666704,-0.0366517533013788,0.0415850866347129,30,1,0
n5-moderate-bg30,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,RMSE,lower,0.0664054695818824,0.0660719489270846,0.000333520654797782,-0.000552282114345004,0.00121932342394057,30,1,0
n5-moderate-bg30,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,OFFERED_UTIL,lower,0.58096666666664,0.59037777777775,-0.00941111111111016,-0.0143007192249827,-0.00452150299723761,30,1,1
n5-moderate-bg30,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.0926172839506172,0.092758061544131,-0.000140777593513896,-0.00203051106655585,0.00174895587952806,30,1,0
n5-moderate-bg30,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,9.62166666666667,9.785,-0.16333333333333,-0.22387948637135,-0.10278718029531,30,1,0
n5-moderate-bg30,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,7.94444444444444,7.79166666666667,0.152777777777778,-0.0172821300385043,0.32283768559406,30,1,0
n5-moderate-bg30,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.438233333333334,0.426733333333333,0.0115000000000002,-0.0184618058948176,0.041461805894818,30,1,0
n5-moderate-bg30,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,RMSE,lower,0.0774180098539576,0.0660719489270846,0.0113460609268729,0.0100840628333128,0.012608059020433,30,1,0
n5-moderate-bg30,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,OFFERED_UTIL,lower,0.523055555555535,0.59037777777775,-0.0673222222222149,-0.0724704623565049,-0.0621739820879249,30,1,1
n5-moderate-bg30,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.111441311958725,0.092758061544131,0.0186832504145938,0.0161562514254717,0.0212102494037158,30,1,0
