seed,scenario,scenarioLabel,N,candidateCount,admittedCandidateCount,eligibleCandidateCount,ACK_STANDALONE,ACK_ENTRIES_DELIVERED,ADAPTIVE_ACK_PERMITTED,DIVERGED,INVARIANT_VIOLATIONS,MAX_QUEUE,MAX_HISTORY,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
16019047,n20-ring2,N20 ring2,20,1,1,0,1,1846,1,0,0,2,32,10201711360909,339934829995,187625276
16019047,n5-aloha,N5 ALOHA,5,320,320,118,319,445,320,0,0,2,32,666863955668,21188669107,153304644
16019048,n5-csma,N5 CSMA,5,56,56,17,56,744,56,0,0,2,32,667294635523,21189849835,152862138
16019048,n10-ring2,N10 ring2,10,82,82,26,82,1653,82,0,0,2,32,2586379134085,84902477619,161813414
16019048,n20-ring2,N20 ring2,20,0,0,0,0,1922,0,0,0,1,32,10201359043755,339875375604,187625278
16019048,n5-aloha,N5 ALOHA,5,307,307,124,307,389,307,0,0,2,32,667294635523,21189849835,153304646
16019049,n5-csma,N5 CSMA,5,83,83,35,83,758,83,0,0,2,32,667523605727,21200625346,152862140
16019049,n10-ring2,N10 ring2,10,87,87,29,87,1682,87,0,0,2,32,2586597096191,84924852691,161813416
16019049,n20-ring2,N20 ring2,20,2,2,0,2,1853,2,0,0,2,32,10201293496904,339932110657,187625280
16019049,n5-aloha,N5 ALOHA,5,300,300,103,300,381,300,0,0,2,32,667523605727,21200625346,153304648
16019050,n5-csma,N5 CSMA,5,67,67,19,67,769,67,0,0,2,32,667322005843,21198066966,152862142
16019050,n10-ring2,N10 ring2,10,87,87,33,87,1697,87,0,0,2,32,2586514409025,84882224617,161813418
16019050,n20-ring2,N20 ring2,20,1,1,0,1,1939,1,0,0,2,32,10201085191576,339924918916,187625282
16019050,n5-aloha,N5 ALOHA,5,352,352,109,352,424,352,0,0,2,32,667322005843,21198066966,153304650
16019051,n5-csma,N5 CSMA,5,65,65,26,65,735,65,0,0,2,32,667224493309,21201518895,152862144
16019051,n10-ring2,N10 ring2,10,81,81,28,81,1702,81,0,0,2,32,2586991141725,84901348633,161813420
16019051,n20-ring2,N20 ring2,20,3,3,0,3,1988,3,0,0,2,32,10200047980766,339883632025,187625284
16019051,n5-aloha,N5 ALOHA,5,277,277,87,277,328,277,0,0,2,32,667224493309,21201518895,153304652
16019052,n5-csma,N5 CSMA,5,56,56,18,56,751,56,0,0,2,32,666792255165,21183859309,152862146
16019052,n10-ring2,N10 ring2,10,82,82,40,82,1713,82,0,0,2,32,2585741388938,84872406001,161813422
16019052,n20-ring2,N20 ring2,20,3,3,0,3,1885,3,0,0,2,32,10197938834615,339944383726,187625286
16019052,n5-aloha,N5 ALOHA,5,323,323,110,323,432,323,0,0,2,32,666792255165,21183859309,153304654
