seed,method,fault,topology,scenario,RMSE,MINEVAL,PEAKERR,RECOVERY,PEAKAOI,NDATA,NACK,MISSION,SAFEFAIL,MINSEPFAULT,TXFAULT,CONNECTED,ISOLATED,LAMBDA2
5,State-event,none,ring2,Stressed,0.463969516783141,0.0796435487453594,0.701073664306209,NaN,0.607916666666665,5405,0,30,1,0.0796435487453594,172.227272727273,1,0,0.498132719947257
6,State-event,none,ring2,Stressed,0.452858511708619,0.0627075384788079,0.640571439163446,NaN,0.581666666666666,5425,0,30,1,0.0627075384788079,174.636363636364,1,0,0.498132719947257
7,State-event,none,ring2,Stressed,0.468052708133199,0.0904682734678999,0.740577065095469,NaN,0.638749999999999,5419,0,30,1,0.0904682734678999,174.590909090909,1,0,0.498132719947257
8,State-event,none,ring2,Stressed,0.456337207663032,0.0949101403989128,0.67271616695793,NaN,0.584166666666665,5414,0,30,1,0.0949101403989128,173.681818181818,1,0,0.498132719947257
9,State-event,none,ring2,Stressed,0.460651027579848,0.0405101629516013,0.688248122683322,NaN,0.591250000000001,5429,0,30,1,0.0405101629516013,173.818181818182,1,0,0.498132719947257
10,State-event,none,ring2,Stressed,0.459423479570338,0.0977289105174438,0.672020329148007,NaN,0.632083333333332,5435,0,30,1,0.0977289105174438,173.818181818182,1,0,0.498132719947257
11,State-event,none,ring2,Stressed,0.453309362828523,0.101373295600859,0.642905946622073,NaN,0.587083333333335,5451,0,30,1,0.101373295600859,175.045454545455,1,0,0.498132719947257
12,State-event,none,ring2,Stressed,0.44559042893378,0.0760230034084554,0.621195671334579,NaN,0.552083333333335,5439,0,30,1,0.0760230034084554,174.681818181818,1,0,0.498132719947257
13,State-event,none,ring2,Stressed,0.479279870945648,0.0624654618904132,0.754154768225822,NaN,0.629166666666667,5383,0,30,1,0.0624654618904132,171.545454545455,1,0,0.498132719947257
14,State-event,none,ring2,Stressed,0.467503977436889,0.124847349272205,0.675398747326208,NaN,0.715833333333334,5425,0,30,1,0.124847349272205,173.227272727273,1,0,0.498132719947257
15,State-event,none,ring2,Stressed,0.460686315603809,0.0960702332317534,0.642710791908693,NaN,0.580416666666666,5411,0,30,1,0.0960702332317534,173.5,1,0,0.498132719947257
16,State-event,none,ring2,Stressed,0.450757153201999,0.133317903066452,0.625054147175967,NaN,0.595833333333332,5442,0,30,1,0.133317903066452,173.818181818182,1,0,0.498132719947257
17,State-event,none,ring2,Stressed,0.464919317811836,0.131895446958428,0.665256937157674,NaN,0.612083333333333,5418,0,30,1,0.131895446958428,173.409090909091,1,0,0.498132719947257
18,State-event,none,ring2,Stressed,0.467657973507438,0.0684006640112467,0.697661417623856,NaN,0.613333333333333,5416,0,30,1,0.0684006640112467,174.727272727273,1,0,0.498132719947257
19,State-event,none,ring2,Stressed,0.477511487135226,0.103927386720606,0.70816211373218,NaN,0.649999999999999,5369,0,30,1,0.103927386720606,172.545454545455,1,0,0.498132719947257
20,State-event,none,ring2,Stressed,0.466186362965664,0.0619439184733036,0.685212058214137,NaN,0.685833333333332,5418,0,30,1,0.0619439184733036,173.727272727273,1,0,0.498132719947257
1,Causal-v3,none,ring2,Stressed,0.218827857143613,0.359628071625897,0.291929592260295,NaN,0.234166666666667,25171,15098,30,0,0.359628071625897,800.545454545455,1,0,0.498132719947257
2,Causal-v3,none,ring2,Stressed,0.218621097983312,0.359940231876851,0.28845625324446,NaN,0.227083333333334,25197,14956,30,0,0.359940231876851,800.363636363636,1,0,0.498132719947257
3,Causal-v3,none,ring2,Stressed,0.218226670378606,0.36673214787638,0.294176552056532,NaN,0.227499999999998,25190,14987,30,0,0.36673214787638,800.136363636364,1,0,0.498132719947257
4,Causal-v3,none,ring2,Stressed,0.217273005198217,0.361298792585778,0.296582834497087,NaN,0.234583333333334,25210,15117,30,0,0.361298792585778,800.318181818182,1,0,0.498132719947257
5,Causal-v3,none,ring2,Stressed,0.217422588265568,0.365841815771194,0.294530367959083,NaN,0.230416666666666,25206,15052,30,0,0.365841815771194,800.045454545455,1,0,0.498132719947257
6,Causal-v3,none,ring2,Stressed,0.217879933664393,0.358395362152441,0.298224838735416,NaN,0.224999999999998,25205,15195,30,0,0.358395362152441,800.090909090909,1,0,0.498132719947257
7,Causal-v3,none,ring2,Stressed,0.217846620578187,0.35078896277425,0.30255425155328,NaN,0.22625,25172,15019,30,0,0.35078896277425,800.272727272727,1,0,0.498132719947257
8,Causal-v3,none,ring2,Stressed,0.21789995362431,0.363330551125414,0.301427721781514,NaN,0.2275,25193,14965,30,0,0.363330551125414,800.363636363636,1,0,0.498132719947257
9,Causal-v3,none,ring2,Stressed,0.217984500959019,0.361091031863282,0.296722541350057,NaN,0.233333333333333,25205,14967,30,0,0.361091031863282,800.409090909091,1,0,0.498132719947257
10,Causal-v3,none,ring2,Stressed,0.216339631994915,0.362803133315335,0.288795280839396,NaN,0.232916666666667,25180,15287,30,0,0.362803133315335,800.045454545455,1,0,0.498132719947257
11,Causal-v3,none,ring2,Stressed,0.216363399153926,0.358327798775747,0.288353723589062,NaN,0.220833333333332,25197,15145,30,0,0.358327798775747,800.181818181818,1,0,0.498132719947257
12,Causal-v3,none,ring2,Stressed,0.216147606980254,0.363595970471296,0.302627214825909,NaN,0.222083333333334,25171,15208,30,0,0.363595970471296,799.863636363636,1,0,0.498132719947257
13,Causal-v3,none,ring2,Stressed,0.217102615768718,0.359044959295658,0.294928372091849,NaN,0.22375,25194,15044,30,0,0.359044959295658,800.363636363636,1,0,0.498132719947257
14,Causal-v3,none,ring2,Stressed,0.218930824687028,0.355016294169672,0.289813671588837,NaN,0.222916666666667,25208,15016,30,0,0.355016294169672,800.136363636364,1,0,0.498132719947257
15,Causal-v3,none,ring2,Stressed,0.217615435994873,0.361504831289146,0.302380017124543,NaN,0.222499999999999,25218,15184,30,0,0.361504831289146,800.045454545455,1,0,0.498132719947257
16,Causal-v3,none,ring2,Stressed,0.219226929755555,0.3533643750665,0.301780719232542,NaN,0.230833333333334,25208,15027,30,0,0.3533643750665,800.090909090909,1,0,0.498132719947257
17,Causal-v3,none,ring2,Stressed,0.218514515552002,0.356563972440656,0.299136492836187,NaN,0.222083333333336,25172,15018,30,0,0.356563972440656,800,1,0,0.498132719947257
18,Causal-v3,none,ring2,Stressed,0.21673915476803,0.359201278044833,0.292166879662414,NaN,0.219999999999998,25196,15191,30,0,0.359201278044833,800.136363636364,1,0,0.498132719947257
19,Causal-v3,none,ring2,Stressed,0.216856130359706,0.363285040235541,0.295356887783223,NaN,0.23,25170,15006,30,0,0.363285040235541,799.954545454545,1,0,0.498132719947257
20,Causal-v3,none,ring2,Stressed,0.218010584461795,0.356237530773014,0.293430372489246,NaN,0.222083333333335,25173,15029,30,0,0.356237530773014,799.909090909091,1,0,0.498132719947257
1,P10,perm 10%,ring2,Stressed,0.79486033087879,0.284634044559802,1.61349696602858,NaN,2.74333333333333,14400,0,30,0,0.284634044559802,480,1,0,0.498132719947257
2,P10,perm 10%,ring2,Stressed,0.762373414754911,0.320931973361739,1.73605451041488,NaN,2.74541666666667,14400,0,30,0,0.320931973361739,480,1,0,0.498132719947257
3,P10,perm 10%,ring2,Stressed,0.846031892685739,0.242503618805807,1.93581311116109,NaN,2.76,14400,0,30,1,0.242503618805807,480,1,0,0.498132719947257
4,P10,perm 10%,ring2,Stressed,0.817407649480096,0.284529754549757,1.77576025205425,NaN,2.75166666666667,14400,0,30,0,0.284529754549757,480,1,0,0.498132719947257
5,P10,perm 10%,ring2,Stressed,0.82776912683539,0.338000836768099,1.74004791630876,NaN,2.76208333333333,14400,0,30,0,0.338000836768099,480,1,0,0.498132719947257
6,P10,perm 10%,ring2,Stressed,0.654092573118808,0.314187522635797,1.63342342534307,NaN,2.74333333333333,14400,0,30,0,0.314187522635797,480,1,1,0.388347279660592
7,P10,perm 10%,ring2,Stressed,0.805901139949315,0.33623953263656,1.61310438301103,NaN,2.76416666666667,14400,0,30,0,0.33623953263656,480,1,0,0.498132719947257
8,P10,perm 10%,ring2,Stressed,0.676914236546745,0.235686257464844,1.25609252573158,NaN,2.75166666666667,14400,0,30,1,0.235686257464844,480,1,0,0.498132719947257
9,P10,perm 10%,ring2,Stressed,0.750458455939774,0.331262224864854,1.81935896976378,NaN,2.76416666666667,14400,0,30,0,0.331262224864854,480,1,0,0.498132719947257
10,P10,perm 10%,ring2,Stressed,0.726569956882211,0.380555393470408,1.58794210860342,NaN,2.75791666666667,14400,0,30,0,0.380555393470408,480,1,0,0.407474483253731
11,P10,perm 10%,ring2,Stressed,0.718292355675288,0.276479284929385,1.62501375188655,NaN,2.74125,14400,0,30,0,0.276479284929385,480,1,0,0.418971095511657
12,P10,perm 10%,ring2,Stressed,0.788041325662901,0.349077144338334,1.84298035937089,NaN,2.76208333333333,14400,0,30,0,0.349077144338334,480,1,0,0.401173109843566
13,P10,perm 10%,ring2,Stressed,0.887951012907976,0.462158994472368,1.90741913700822,NaN,3.36,14400,0,30,0,0.462158994472368,480,1,0,0.498132719947257
14,P10,perm 10%,ring2,Stressed,0.731805643427562,0.382348433230878,1.85993655167728,NaN,2.76625,14400,0,30,0,0.382348433230878,480,1,0,0.415540688582631
15,P10,perm 10%,ring2,Stressed,0.727864900075464,0.352612622817586,1.7558223617258,NaN,2.74541666666667,14400,0,30,0,0.352612622817586,480,1,0,0.498132719947257
16,P10,perm 10%,ring2,Stressed,0.853902889708477,0.343972383712822,1.84347916540276,NaN,2.76625,14400,0,30,0,0.343972383712822,480,1,0,0.498132719947257
17,P10,perm 10%,ring2,Stressed,0.830851867244945,0.221330782899121,2.04044642879386,NaN,3.38291666666667,14400,0,30,1,0.221330782899121,480,1,0,0.498132719947257
18,P10,perm 10%,ring2,Stressed,0.719796307381348,0.289047252254091,1.51145424940822,NaN,2.77458333333333,14400,0,30,0,0.289047252254091,480,1,0,0.407474483253731
19,P10,perm 10%,ring2,Stressed,0.704784290319893,0.31617145830011,1.74408328522173,NaN,2.76208333333333,14400,0,30,0,0.31617145830011,480,1,0,0.498132719947257
