scenarioId,seed,lambda,time_s,inEventWindow,dataAttempts,scheduledActions,cumulativeScheduledActions,stepMaxValue,predictedSaturationFraction
S2,27020001,0,20.76,1,2,2,2401,0.00299934654474519,0
S2,27020001,0,20.78,1,2,2,2403,0.00167164182564056,0
S2,27020001,0,20.8,1,1,1,2404,0.00196792720049443,0
S2,27020001,0,20.82,1,4,4,2408,0.0023653582191154,0
S2,27020001,0,20.84,1,2,2,2410,0.00233958822137482,0
S2,27020001,0,20.86,1,2,2,2412,0.00282742075904726,0
S2,27020001,0,20.88,1,1,1,2413,0.00329854675328209,0
S2,27020001,0,20.9,1,3,3,2416,0.00373603935930788,0
S2,27020001,0,20.92,1,2,2,2418,0.00412360017336138,0
S2,27020001,0,20.94,1,2,2,2420,0.0045804449742999,0
S2,27020001,0,20.96,1,1,1,2421,0.00219199096005457,0
S2,27020001,0,20.98,1,3,3,2424,0.00248193067613703,0
S2,27020001,0,21,1,2,2,2426,0.00249168341868066,0
S2,27020001,0,21.02,1,2,2,2428,0.00267558233647799,0
S2,27020001,0,21.04,1,1,1,2429,0.00280383828209603,0
S2,27020001,0,21.06,1,3,3,2432,0.00264609998673186,0
S2,27020001,0,21.08,1,2,2,2434,0.00222274618344515,0
S2,27020001,0,21.1,1,2,2,2436,0.00276534809500975,0
S2,27020001,0,21.12,1,1,1,2437,0.00328009712790803,0
S2,27020001,0,21.14,1,3,3,2440,0.00374698141080064,0
S2,27020001,0,21.16,1,2,2,2442,0.0042081340951454,0
S2,27020001,0,21.18,1,2,2,2444,0.0047751662446397,0
S2,27020001,0,21.2,1,1,1,2445,0.00284568324184035,0
S2,27020001,0,21.22,1,3,3,2448,0.00318543025057325,0
