seed,family,point,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL,periodicRateHz,epsP
16,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
17,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
18,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
19,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
20,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
1,Periodic,p1,Moderate,0.303362918708712,0.446910662560914,0.240382815889008,0.467349379352104,2,720,0.7875,0,0,1,1,2,0.01
2,Periodic,p1,Moderate,0.289751902011345,0.397280855435265,0.248908941813889,0.460499545867393,2,720,0.804166666666667,0,0,1,1,2,0.01
3,Periodic,p1,Moderate,0.291039282433222,0.510449780482064,0.26983919668643,0.441842264607932,2,720,0.801388888888889,0,0,1,0,2,0.01
4,Periodic,p1,Moderate,0.282110454265427,0.442957655834999,0.158512563667297,0.4449076597033,2,720,0.802777777777778,0,0,1,1,2,0.01
5,Periodic,p1,Moderate,0.289118170148582,0.411513140006527,0.24185189407586,0.447518922191947,2,720,0.804166666666667,0,0,1,1,2,0.01
6,Periodic,p1,Moderate,0.290473656241171,0.394045066754211,0.256101030145676,0.446686345746291,2,720,0.815277777777778,0,0,1,0,2,0.01
7,Periodic,p1,Moderate,0.295536770845971,0.392487999050862,0.211254243581781,0.465949137148047,2,720,0.776388888888889,0,0,1,1,2,0.01
8,Periodic,p1,Moderate,0.289446462572444,0.422486586904098,0.234444697365419,0.445134726006661,2,720,0.806944444444444,0,0,1,1,2,0.01
9,Periodic,p1,Moderate,0.288012246464568,0.426005613422727,0.227579409606702,0.448919164396003,2,720,0.797222222222222,0,0,1,1,2,0.01
10,Periodic,p1,Moderate,0.298307910793652,0.409479421983093,0.208460339354455,0.467576445655464,2,720,0.775,0,0,1,1,2,0.01
11,Periodic,p1,Moderate,0.281109390225707,0.397303066732924,0.283989458343188,0.4374144716924,2,720,0.8125,0,0,1,0,2,0.01
12,Periodic,p1,Moderate,0.303849605250376,0.438098880513346,0.252711166322931,0.469998486224644,2,720,0.797222222222222,0,0,1,0,2,0.01
13,Periodic,p1,Moderate,0.293215845466749,0.467159433898479,0.203112775207346,0.466138359067514,2,720,0.790277777777778,0,0,1,1,2,0.01
14,Periodic,p1,Moderate,0.311957317629527,0.46366767098501,0.210207562322986,0.484644262791402,2,720,0.779166666666667,0,0,1,1,2,0.01
15,Periodic,p1,Moderate,0.282249685758249,0.416067415360817,0.265660824442298,0.451492582500757,2,720,0.802777777777778,0,0,1,0,2,0.01
16,Periodic,p1,Moderate,0.286706660150879,0.414069356379487,0.25885158093338,0.447178322736906,2,720,0.808333333333333,0,0,1,0,2,0.01
17,Periodic,p1,Moderate,0.296849576238431,0.420157086934085,0.216720021787212,0.456752951861943,2,720,0.793055555555556,0,0,1,1,2,0.01
18,Periodic,p1,Moderate,0.307010046188993,0.466150701964294,0.257953840016757,0.472193460490463,2,720,0.784722222222222,0,0,1,0,2,0.01
19,Periodic,p1,Moderate,0.304126098146021,0.469464453514003,0.196492462184938,0.461067211625794,2,720,0.794444444444445,0,0,1,1,2,0.01
20,Periodic,p1,Moderate,0.295212894727252,0.446412941291767,0.234899649612166,0.464246139872843,2,720,0.805555555555556,0,0,1,1,2,0.01
1,State-event,p1,Moderate,0.0771596097530219,0.100214651573945,0.503321933851271,0.125490463215259,18.6555555555556,6716,0.7973496128648,0,0,0,0,2,0.01
2,State-event,p1,Moderate,0.0778004082404832,0.0999511944105568,0.500282103155046,0.12516348773842,18.6444444444444,6712,0.799761620977354,0,0,0,0,2,0.01
3,State-event,p1,Moderate,0.0768383226556471,0.101160239068407,0.506343167519861,0.124482288828338,18.6555555555556,6716,0.807176891006552,0,0,0,0,2,0.01
4,State-event,p1,Moderate,0.0766089342147579,0.100682325580824,0.499390781327033,0.124409627611263,18.6666666666667,6720,0.804613095238095,0,0,0,0,2,0.01
5,State-event,p1,Moderate,0.0770949203158788,0.0989862347314585,0.502430235082261,0.12455949137148,18.6611111111111,6718,0.803959511759452,0,0,0,0,2,0.01
6,State-event,p1,Moderate,0.0776947036360078,0.0994477498648473,0.502770303445954,0.124972752043597,18.6444444444444,6712,0.800208581644815,0,0,0,0,2,0.01
7,State-event,p1,Moderate,0.0776085309734211,0.100187321681959,0.504832287296118,0.125653950953678,18.6611111111111,6718,0.794135159273593,0,0,0,0,2,0.01
8,State-event,p1,Moderate,0.0767796347602427,0.100179137486423,0.49990324179773,0.124482288828338,18.65,6714,0.806672624366994,0,0,0,0,2,0.01
