seed,traceHash,stateHash,continuousHash,barrierClosed,motionAuthorized,commitReady,allAffectedReactivated,finalSuppressedCount,prematureActivationFrames,scheduledCollisionFrames,finalActiveColoringProper,routeCollisionRecipients,crossPacketStateWrites,forbiddenReads,logicalPacketCount,routedPacketCount,localOnlyPacketCount,physicalControlAttempts,physicalControlBytes,physicalControlAirtimeSec,attemptBound,integerAccountingExact,dynamicBundleEnvelopeExact,scheduleBuilt,kernelContinuousReplayExact,continuousDurationSec,firstConvergenceTimeSec,continuousAccountingExact,clockSchedulePreserved,controlDataNonOverlap,traceVersionHash,kernelVersionHash,scheduleError
16095308,138651694108,10146969,1051921560,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095309,138883983649,10145269,1052072250,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095310,138938226578,9659153,1314224018,1,1,1,1,0,0,0,1,0,0,0,37,35,2,404,18024,0.576768,412,1,1,1,1,2.67542397439898,2.13793353398136,1,1,1,64470,68109,
16095311,138747682511,10142757,1052424653,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095312,138808849833,10136029,1052206586,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095313,138789089801,12336974,1385507305,1,1,1,1,0,0,0,1,0,0,0,36,35,1,420,18376,0.588032,420,1,1,1,1,2.69547243841754,2.15798199799992,1,1,1,64470,68109,
16095314,138772697725,10118393,1058259981,1,1,1,1,0,0,0,1,0,0,0,31,30,1,336,13176,0.421632,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095315,138846640899,10146955,1052139022,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095316,138510715397,10146114,1052159123,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095317,139060690817,10792542,1385347507,1,1,1,1,0,0,0,1,0,0,0,40,38,2,424,17768,0.568576,436,1,1,1,1,2.75518629449178,2.21769585407416,1,1,1,64470,68109,
16095318,138645758307,10155354,1051598241,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095319,138703136117,10136875,1051202542,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095320,138795256358,10151182,1051778707,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095321,138339320285,11069556,1113639159,1,1,1,1,0,0,0,1,0,0,0,32,31,1,356,13736,0.439552,356,1,1,1,1,2.35633087019481,1.81884042977719,1,1,1,64470,68109,
16095322,138683539988,11062815,1113636450,1,1,1,1,0,0,0,1,0,0,0,32,31,1,356,13736,0.439552,356,1,1,1,1,2.35633087019481,1.81884042977719,1,1,1,64470,68109,
16095323,138741687758,10132690,1052150404,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095324,138908979078,10147782,1051549660,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095325,138677652011,10138592,1051636904,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095326,138654801898,10141915,1050661389,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095327,138791397289,10139406,1051908856,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
