seed,commRateHz,packetLoss,delay,RMSE,MAXERR,MINFULL,MINEVAL,PDR,AOI,ARRIVAL,TXRATE,SAFETYFAIL,FORMATIONFAIL
15,10,0.4,0,0.072681396084248,0.100451479250154,0.242618536018016,0.512423266396478,0.597222222222222,0.115214956100515,0.597222222222222,120,0,0
16,10,0.4,0,0.0769440255199906,0.117095177159817,0.260528266433833,0.507706164444657,0.596388888888889,0.121224644262791,0.596388888888889,120,0,0
17,10,0.4,0,0.0727429772018039,0.110111242734934,0.264464631079741,0.507728274655975,0.603611111111111,0.118719346049046,0.603611111111111,120,0,0
18,10,0.4,0,0.0756505013080907,0.11016754306175,0.2215347451094,0.490167687610205,0.594722222222222,0.119234029669997,0.594722222222222,120,0,0
19,10,0.4,0,0.0783576428390617,0.109378906664842,0.244632697623681,0.499553186574538,0.586111111111111,0.12319255222525,0.586111111111111,120,0,0
20,10,0.4,0,0.0728025287021219,0.116307473031094,0.214935643831123,0.512596408216303,0.606111111111111,0.112179836512262,0.606111111111111,120,0,0
1,20,0.4,0,0.0370722189581361,0.0530463290207406,0.267544545824179,0.549255241104289,0.6075,0.0574038752649106,0.6075,240,0,0
2,20,0.4,0,0.0389566926514813,0.055975834224797,0.256530312560588,0.548773098278018,0.592638888888889,0.060644868301544,0.592638888888889,240,0,0
3,20,0.4,0,0.0382725509581996,0.0560633393869923,0.2514739202805,0.549534140270337,0.603055555555556,0.0577444747199515,0.603055555555556,240,0,0
4,20,0.4,0,0.0393346430350275,0.0581954171287384,0.263694590882032,0.542735547161203,0.589305555555556,0.0603254617014835,0.589305555555556,240,0,0
5,20,0.4,0,0.0389523319798419,0.054786723605564,0.267720916448872,0.549182099936537,0.591944444444444,0.0598910081743869,0.591944444444444,240,0,0
6,20,0.4,0,0.0382363296715398,0.0515446771067761,0.26958419519223,0.54918774308959,0.595,0.0591235240690282,0.595,240,0,0
7,20,0.4,0,0.0373893992873851,0.0536731654953854,0.267630000198859,0.548865777158304,0.608194444444444,0.057338782924614,0.608194444444444,240,0,0
8,20,0.4,0,0.0369987323667753,0.0549007005177634,0.263816399836503,0.551939473614521,0.609583333333333,0.0564335452618831,0.609583333333333,240,0,0
9,20,0.4,0,0.0383302389714955,0.0561846536875982,0.255611698725309,0.550713668928284,0.604305555555556,0.0586376021798365,0.604305555555556,240,0,0
10,20,0.4,0,0.0399901363765833,0.058097693797679,0.262866863258909,0.552526230383738,0.58875,0.0613669391462307,0.58875,240,0,0
11,20,0.4,0,0.0387266407022939,0.0573625631202791,0.267608715918335,0.549786071070485,0.599027777777778,0.0598955495004541,0.599027777777778,240,0,0
12,20,0.4,0,0.0385356671160115,0.0534274686344931,0.257490490748414,0.548259418916778,0.594444444444444,0.0599666969421738,0.594444444444444,240,0,0
13,20,0.4,0,0.0376292781337964,0.0546362866893489,0.264866102526138,0.551921717057939,0.594166666666667,0.0583969118982743,0.594166666666667,240,0,0
14,20,0.4,0,0.0366831267889578,0.0537200832786603,0.239431162618428,0.551044930668497,0.596388888888889,0.0566500151377535,0.596388888888889,240,0,0
