cell,effect,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-hidden,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,DATA_ATTEMPTED,1425.375,1498,-4.8481308411215,-72.625,-196.205050379778,50.9550503797781,8,0,1
n5-hidden,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,ACK_ATTEMPTED,48.25,0,NaN,48.25,43.8092975326128,52.6907024673872,8,0,0
n5-hidden,load_guard_given_adaptive,guarded-adaptive,adaptive-only,RMSE,0.0605695427487749,0.058925412147772,2.79018939550183,0.00164413060100289,-0.000484422829075778,0.00377268403108155,8,0,1
n5-hidden,load_guard_given_adaptive,guarded-adaptive,adaptive-only,MEAN_TRUE_AOI,0.0859038142620231,0.0816721945826423,5.18122440691728,0.00423161967938084,0.000497051476299344,0.00796618788246233,8,0,0
n5-hidden,load_guard_given_adaptive,guarded-adaptive,adaptive-only,OFFERED_UTIL,0.508031249999982,0.482739583333318,5.23919470038582,0.0252916666666638,-0.0157885319973443,0.0663718653306719,8,0,1
n5-hidden,load_guard_given_adaptive,guarded-adaptive,adaptive-only,CHANNEL_UTIL,0.393624999999989,0.376729166666651,4.48487529724203,0.0168958333333384,-0.00563977058204267,0.0394314372487194,8,0,1
n5-hidden,load_guard_given_adaptive,guarded-adaptive,adaptive-only,COLLISION_FRAMES,886,807.625,9.70438012691534,78.375,-58.6194617024568,215.369461702457,8,0,1
n5-hidden,load_guard_given_adaptive,guarded-adaptive,adaptive-only,DATA_ATTEMPTED,1501.25,1425.375,5.32316057177936,75.875,-48.9586994874576,200.708699487458,8,0,1
n5-hidden,load_guard_given_adaptive,guarded-adaptive,adaptive-only,ACK_ATTEMPTED,48.375,48.25,0.259067357512953,0.125,-6.13818619643552,6.38818619643552,8,0,1
n5-hidden,access_scaling_given_hybrid,access-only,frozen-hybrid,RMSE,0.0610070214851845,0.0610070214851845,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_hybrid,access-only,frozen-hybrid,MEAN_TRUE_AOI,0.083680210060807,0.083680210060807,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_hybrid,access-only,frozen-hybrid,OFFERED_UTIL,0.511718749999986,0.511718749999986,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_hybrid,access-only,frozen-hybrid,CHANNEL_UTIL,0.39703124999999,0.39703124999999,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_hybrid,access-only,frozen-hybrid,COLLISION_FRAMES,947.125,947.125,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_hybrid,access-only,frozen-hybrid,DATA_ATTEMPTED,1400.875,1400.875,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_hybrid,access-only,frozen-hybrid,ACK_ATTEMPTED,421.625,421.625,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,RMSE,0.0605695427487749,0.0605695427487749,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,MEAN_TRUE_AOI,0.0859038142620231,0.0859038142620231,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,OFFERED_UTIL,0.508031249999982,0.508031249999982,0,0,0,0,8,0,1
n5-hidden,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,CHANNEL_UTIL,0.393624999999989,0.393624999999989,0,0,0,0,8,0,1
